source_id,work_id,author,work_title,original_title,language,source_url,fixed_revision_url,root_revision,accessed_at,transcription_attribution,license,underlying_work_rights,edition_or_source,clean_path,clean_sha256,source_epub_sha256,derivation_method,transcription_quality
SRC-CHE-001,WORK-CHE-004,"Антон Павлович Чехов (Anton Chekhov, 1860–1904)",第六病室,Палата № 6,ru,https://ru.wikisource.org/wiki/%D0%9F%D0%B0%D0%BB%D0%B0%D1%82%D0%B0_%E2%84%96_6_(%D0%A7%D0%B5%D1%85%D0%BE%D0%B2),https://ru.wikisource.org/w/index.php?oldid=5680738,5680738,2026-08-11,Russian Wikisource contributors,CC-BY-SA-4.0,public_domain,"Чехов, Полное собрание сочинений и писем в 30 томах, Сочинения т. 8, М.: Наука, 1977, с. 72–126",originals/ru/clean/SRC-CHE-001_body.txt,3bf6550172806fae084e933deebf3097a67edceb68fe850e9c64f429222ef95a,b1722920b0dbf94f187132a39ad96164a88ef5f4af6d55510aa7daafeb8afc24,select EPUB spine content; remove navigation/export chrome; convert XHTML blocks to normalized Markdown text,source_chain_strong
SRC-CHE-002,WORK-CHE-001,"Антон Павлович Чехов (Anton Chekhov, 1860–1904)",小公务员之死,Смерть чиновника,ru,https://ru.wikisource.org/wiki/%D0%A1%D0%BC%D0%B5%D1%80%D1%82%D1%8C_%D1%87%D0%B8%D0%BD%D0%BE%D0%B2%D0%BD%D0%B8%D0%BA%D0%B0_(%D0%A7%D0%B5%D1%85%D0%BE%D0%B2),https://ru.wikisource.org/w/index.php?oldid=5617610,5617610,2026-08-11,Russian Wikisource contributors,CC-BY-SA-4.0,public_domain,"Чехов, Полное собрание сочинений и писем в 30 томах, Сочинения т. 2, М.: Наука, 1975, с. 164–166",originals/ru/clean/SRC-CHE-002_body.txt,ede290d388ee89c0533cccad66947177fe82cb1799feef5fb1948d4df0cc87c5,00a8fd81476b1149f972ea5b0911034de34af5c54efa8e47b8c11ed535e26af2,select EPUB spine content; remove navigation/export chrome; convert XHTML blocks to normalized Markdown text,source_chain_strong
SRC-CHE-003,WORK-CHE-002,"Антон Павлович Чехов (Anton Chekhov, 1860–1904)",变色龙,Хамелеон,ru,https://ru.wikisource.org/wiki/%D0%A5%D0%B0%D0%BC%D0%B5%D0%BB%D0%B5%D0%BE%D0%BD_(%D0%A7%D0%B5%D1%85%D0%BE%D0%B2)%2F%D0%92%D0%B0%D1%80%D0%B8%D0%B0%D0%BD%D1%82_%D0%9F%D0%A1%D0%A1_%D0%A7%D0%B5%D1%85%D0%BE%D0%B2%D0%B0_1974%E2%80%941982,https://ru.wikisource.org/w/index.php?oldid=5321508,5321508,2026-08-11,Russian Wikisource contributors,CC-BY-SA-4.0,public_domain,"Чехов, Полное собрание сочинений и писем в 30 томах, Сочинения т. 3, М.: Наука, 1975, с. 52–55; based on Marx 1900 text",originals/ru/clean/SRC-CHE-003_body.txt,ca4928696ad0812a4f40a3fa5c213a1d254ae565e61a1a5e8f1285909e0f40ea,71517251b08474229df46c8fae98f1b8e18b700311c78acea7c5c118ec710292,select EPUB spine content; remove navigation/export chrome; convert XHTML blocks to normalized Markdown text,source_chain_strong
SRC-CHE-004,WORK-CHE-003,"Антон Павлович Чехов (Anton Chekhov, 1860–1904)",草原,Степь,ru,https://ru.wikisource.org/wiki/%D0%A1%D1%82%D0%B5%D0%BF%D1%8C_(%D0%A7%D0%B5%D1%85%D0%BE%D0%B2),https://ru.wikisource.org/w/index.php?oldid=5618373,5618373,2026-08-11,Russian Wikisource contributors,CC-BY-SA-4.0,public_domain,"Чехов, Полное собрание сочинений и писем в 30 томах, Сочинения т. 7, М.: Наука, 1977, с. 13–104",originals/ru/clean/SRC-CHE-004_body.txt,e3e2f5b0a98db894964c359014550f8218b85c7666a61af54c0369055e341d0b,a42a3337aeb05b130be16c5d4f7d996a55e8e96069ca5ece1003a3c39f6efdbd,select EPUB spine content; remove navigation/export chrome; convert XHTML blocks to normalized Markdown text,source_chain_strong
SRC-CHE-005,WORK-CHE-005,"Антон Павлович Чехов (Anton Chekhov, 1860–1904)",黑修士,Чёрный монах,ru,https://ru.wikisource.org/wiki/%D0%A7%D1%91%D1%80%D0%BD%D1%8B%D0%B9_%D0%BC%D0%BE%D0%BD%D0%B0%D1%85_(%D0%A7%D0%B5%D1%85%D0%BE%D0%B2),https://ru.wikisource.org/w/index.php?oldid=5617586,5617586,2026-08-11,Russian Wikisource contributors,CC-BY-SA-4.0,public_domain,"Чехов, Полное собрание сочинений и писем в 30 томах, Сочинения т. 8, М.: Наука, 1977, с. 226–257; based on Marx 1901 text",originals/ru/clean/SRC-CHE-005_body.txt,15cc27daf2889c78b2bd82ae358e79910b8419f43fe62f9464ec0f6909e77440,8bb31e8035d40b401b8d5eaebd56e7db9961607fe3e0129f8491a2dc537eace3,select EPUB spine content; remove navigation/export chrome; convert XHTML blocks to normalized Markdown text,source_chain_strong
SRC-CHE-006,WORK-CHE-006,"Антон Павлович Чехов (Anton Chekhov, 1860–1904)",带小狗的女人,Дама с собачкой,ru,https://ru.wikisource.org/wiki/%D0%94%D0%B0%D0%BC%D0%B0_%D1%81_%D1%81%D0%BE%D0%B1%D0%B0%D1%87%D0%BA%D0%BE%D0%B9_(%D0%A7%D0%B5%D1%85%D0%BE%D0%B2),https://ru.wikisource.org/w/index.php?oldid=5736015,5736015,2026-08-11,Russian Wikisource contributors,CC-BY-SA-4.0,public_domain,"Чехов, Полное собрание сочинений и писем в 30 томах, Сочинения т. 10, М.: Наука, 1977, с. 128–143",originals/ru/clean/SRC-CHE-006_body.txt,de8af0bef82c2125d403b235e6d9e78f119ac2f552aee40a6dc62b4b1f36bc39,2f4b121d61b8ae2fbadbfd4ebe9e70c6d7dca381099422c9c4aacb0e44ae3ea8,epub_container_opf_manifest_spine_order;include_unique_linear_html;exclude_empty_cover_navigation_export_metadata_and_elg_colophon;normalize_nfc_and_block_whitespace,source_chain_strong
SRC-CHE-007,WORK-CHE-007,"Антон Павлович Чехов (Anton Chekhov, 1860–1904)",三姐妹,Три сестры,ru,https://ru.wikisource.org/wiki/%D0%A2%D1%80%D0%B8_%D1%81%D0%B5%D1%81%D1%82%D1%80%D1%8B_(%D0%A7%D0%B5%D1%85%D0%BE%D0%B2),https://ru.wikisource.org/w/index.php?oldid=5680744,5680744,2026-08-11,Russian Wikisource contributors,CC-BY-SA-4.0,public_domain,"Чехов, Полное собрание сочинений и писем в 30 томах, Сочинения т. 13, М.: Наука, 1978, с. 117–188",originals/ru/clean/SRC-CHE-007_body.txt,f5656c6d4393979084f7ecd87ae2894b1b567836ec2dbba7d83d99cae6f76260,2bc53744f28e076487efddd12aca18623185ad5d847a50d4d459952b569043d0,select EPUB spine content; remove navigation/export chrome; convert XHTML blocks to normalized Markdown text,source_chain_strong
SRC-CHE-008,WORK-CHE-008,"Антон Павлович Чехов (Anton Chekhov, 1860–1904)",樱桃园,Вишнёвый сад,ru,https://ru.wikisource.org/wiki/%D0%92%D0%B8%D1%88%D0%BD%D1%91%D0%B2%D1%8B%D0%B9_%D1%81%D0%B0%D0%B4_(%D0%A7%D0%B5%D1%85%D0%BE%D0%B2),https://ru.wikisource.org/w/index.php?oldid=5617142,5617142,2026-08-11,Russian Wikisource contributors,CC-BY-SA-4.0,public_domain,"Чехов, Полное собрание сочинений и писем в 30 томах, Сочинения т. 13, М.: Наука, 1978, с. 195–254",originals/ru/clean/SRC-CHE-008_body.txt,5843b186011fb5df0dfa39704e28a0020f7e28b36f3ab16dbd3e7fa50289dc1f,a078c1d874369ecea7655bb4d2691db3b8d64d8ed91bc7600dcb5b9656d550e3,select EPUB spine content; remove navigation/export chrome; convert XHTML blocks to normalized Markdown text,source_chain_strong
SRC-CHE-009,WORK-CHE-009,"Антон Павлович Чехов (Anton Chekhov, 1860–1904)",伊奥尼奇,Ионыч,ru,https://ru.wikisource.org/wiki/%D0%98%D0%BE%D0%BD%D1%8B%D1%87_%28%D0%A7%D0%B5%D1%85%D0%BE%D0%B2%29,https://ru.wikisource.org/w/index.php?title=%D0%98%D0%BE%D0%BD%D1%8B%D1%87_(%D0%A7%D0%B5%D1%85%D0%BE%D0%B2)&oldid=5321162,5321162,2026-08-12,Russian Wikisource contributors,CC-BY-SA-4.0,public_domain,"Russian Wikisource page Ионыч (Чехов), root revision 5321162; EPUB 3 export retrieved 2026-08-12; underlying print edition not established",originals/ru/clean/SRC-CHE-009_body.txt,1453ae3343da6fb5adf2d19087cc8221bebf7536b01857c8dd98e318c5765362,e82390a89239701ae548f14e62c0c002f09b7a8906ac3ae8a4ed74956ae3d5bd,epub_container_opf_manifest_spine_order;include_unique_linear_html;exclude_empty_cover_navigation_export_metadata_and_elg_colophon;normalize_nfc_and_block_whitespace,needs_collation
SRC-CHE-010,WORK-CHE-010,"Антон Павлович Чехов (Anton Chekhov, 1860–1904)",万尼亚舅舅,Дядя Ваня,ru,https://ru.wikisource.org/wiki/%D0%94%D1%8F%D0%B4%D1%8F_%D0%92%D0%B0%D0%BD%D1%8F_%28%D0%A7%D0%B5%D1%85%D0%BE%D0%B2%29,https://ru.wikisource.org/w/index.php?title=%D0%94%D1%8F%D0%B4%D1%8F_%D0%92%D0%B0%D0%BD%D1%8F_(%D0%A7%D0%B5%D1%85%D0%BE%D0%B2)&oldid=5617232,5617232,2026-08-12,Russian Wikisource contributors,CC-BY-SA-4.0,public_domain,"Russian Wikisource page Дядя Ваня (Чехов), root revision 5617232; EPUB 3 export retrieved 2026-08-12; underlying print edition not established",originals/ru/clean/SRC-CHE-010_body.txt,bee574c83c8d470727fbae20179d7da7922c5a2c7003bbf78c8634cdd05c9a74,aacdc8da2516b1bced4139c43544a0ab4046f9f98a8ff1a6fc765fd3ffde2ff0,epub_container_opf_manifest_spine_order;include_unique_linear_html;exclude_empty_cover_navigation_export_metadata_and_elg_colophon;normalize_nfc_and_block_whitespace,needs_collation
